name,offices,address1,address2,latitude,longitude,"lat,lon"
Six Apart,"[{'description': 'Global HQ', 'address1': '5-2-39 Akasaka', 'address2': '7th Floor, Entsuji Gadelius Bldg', 'zip_code': '107-0052', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': 35.6725213, 'longitude': 139.7326754}]","5-2-39 Akasaka, 107-0052 Tokyo","7th Floor, Entsuji Gadelius Bldg, 107-0052 Tokyo",35.6725213,139.7326754,"[35.6725213, 139.7326754]"
Rakuten,"[{'description': 'Headquarter', 'address1': 'Rakuten Tower, Shinagawa Seaside Rakuten Tower', 'address2': ', 4-12-3 Higashishinagawa, Shinagawa-ku', 'zip_code': '140-0002', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Rakuten Tower, Shinagawa Seaside Rakuten Tower, 140-0002 Tokyo",", 4-12-3 Higashishinagawa, Shinagawa-ku, 140-0002 Tokyo",,,"['35.61299', '139.73274']"
Cybird,"[{'description': 'Corporate Headquarters', 'address1': 'Roppongi Hills Mori Tower 22F', 'address2': '6-10-1 Roppongi', 'zip_code': '106-6161', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Roppongi Hills Mori Tower 22F, 106-6161 Tokyo","6-10-1 Roppongi, 106-6161 Tokyo",,,
Open Source Food,"[{'description': None, 'address1': 'Chuo-ku', 'address2': '', 'zip_code': '', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Chuo-ku,  Tokyo",",  Tokyo",,,"['35.66845', '139.77342']"
Oricon,"[{'description': 'HQ', 'address1': '6-8-10 Roppongi', 'address2': 'West STEP 3rd Floor', 'zip_code': '106-0032', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","6-8-10 Roppongi, 106-0032 Tokyo","West STEP 3rd Floor, 106-0032 Tokyo",,,
Neoteny,"[{'description': 'HQ', 'address1': '2-14-5 Akasaka Minato-ku', 'address2': '3F Plaza Mikado', 'zip_code': '107-0052', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","2-14-5 Akasaka Minato-ku, 107-0052 Tokyo","3F Plaza Mikado, 107-0052 Tokyo",,,"['35.67408', '139.73836']"
Ripplex,"[{'description': None, 'address1': 'Harajuku Green Land', 'address2': '1-21-1 Gingumae, Shibuya-ku', 'zip_code': '150-0001', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Harajuku Green Land, 150-0001 Tokyo","1-21-1 Gingumae, Shibuya-ku, 150-0001 Tokyo",,,"['35.67226', '139.70288']"
Sumisho Computer Systems,"[{'description': 'HQ', 'address1': 'Harumi Island Triton Square', 'address2': 'Office Tower Z', 'zip_code': '104-6241', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Harumi Island Triton Square, 104-6241 Tokyo","Office Tower Z, 104-6241 Tokyo",,,"['64.96305', '-19.02084']"
Dentsu,"[{'description': '', 'address1': '1-8-1, Higashi-shimbashi, Minato-ku', 'address2': '', 'zip_code': '105-7001', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","1-8-1, Higashi-shimbashi, Minato-ku, 105-7001 Tokyo",", 105-7001 Tokyo",,,
Cyber Communications,"[{'description': 'Head Office', 'address1': '2-14-1, Higashi-shimbashi, Minato-ku', 'address2': '', 'zip_code': '', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': 38.9052036, 'longitude': -121.3084088}]","2-14-1, Higashi-shimbashi, Minato-ku,  Tokyo",",  Tokyo",38.9052036,-121.3084088,"[38.9052036, -121.3084088]"
J-Stream,"[{'description': 'HQ', 'address1': '3-25-18 Shibuya Shibuyaku', 'address2': 'Shibuya Garden Front, 10th Floor', 'zip_code': '150-0002', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","3-25-18 Shibuya Shibuyaku, 150-0002 Tokyo","Shibuya Garden Front, 10th Floor, 150-0002 Tokyo",,,
Mitsubishi Motors,"[{'description': 'HQ', 'address1': '33-8 Shiba 5-Chome Minato-ku', 'address2': '', 'zip_code': '108-8410', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","33-8 Shiba 5-Chome Minato-ku, 108-8410 Tokyo",", 108-8410 Tokyo",,,"['35.65278', '139.74342']"
Niwango,"[{'description': None, 'address1': 'Hamacho Center Bldg.', 'address2': '2-31-1 Nihonbashi-Hama-cho, Chuo-ku', 'zip_code': '103-007', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]","Hamacho Center Bldg., 103-007 Tokyo","2-31-1 Nihonbashi-Hama-cho, Chuo-ku, 103-007 Tokyo",,,
