Education,lat,lon
Rissho University (立正大学 品川キャンパス),35.620554,139.72375
Tokyo Institute of Technology (東京工業大学 大岡山キャンパス),35.605923,139.68359
Keio University Hiyoshi Campus (慶應義塾大学 日吉キャンパス),35.553481,139.647968
トキワ松学園小学校,35.62071,139.68236
Meiji Gakuin University (明治学院大学 白金キャンパス),35.637157,139.731142
Keio University (慶應義塾大学 三田キャンパス),35.648335,139.743149
日本大学三軒茶屋キャンパス,35.637173,139.675062
種月館(3号館),35.628601,139.658685
Komazawa University Komazawa Campus (駒澤大学 駒沢キャンパス),35.629293,139.658231
Kokugakuin University (國學院大學 渋谷キャンパス),35.655581,139.711625
Senzoku Gakuen College of Music (洗足学園音楽大学 溝の口キャンパス),35.594985,139.614891
Aoyama Gakuin University (青山学院大学 青山キャンパス),35.660084,139.71048
Shibaura Institute of Technology (Toyosu Campus) (芝浦工業大学 豊洲キャンパス),35.660421,139.795413
University of Tokyo Komaba Campus (東京大学 駒場キャンパス),35.659238,139.684738
Kanagawa Univ. (神奈川大学 横浜キャンパス),35.484662,139.620757
Kokushikan University (国士舘大学 世田谷キャンパス),35.648298,139.653129
慶應義塾大学信濃町キャンパス,35.682695,139.717747
Sophia University (上智大学),35.685114,139.731323
Yamano Beauty College (山野美容専門学校),35.684745,139.700375
Meiji Univ. Izumi Campus (明治大学 和泉キャンパス),35.670081,139.649255
